book_id,title,author,genre,published_year,price,stock
1,The Da Vinci Code (Illustrated Edition),Dan Brown,Thriller,1893,10.54,38
2,Harry Potter and the Philosopher's Stone (Illustrated Edition),J.K. Rowling,Fiction,1946,13.32,8
3,The Hobbit (Collector Edition),J.R.R. Tolkien,Mystery,1926,33.48,56
4,The Name of the Rose,Umberto Eco,Science Fiction,1895,42.02,32
5,The Road (Anniversary Edition),Cormac McCarthy,Fiction,1964,31.85,28
6,The Road (Illustrated Edition),Cormac McCarthy,Non-Fiction,1931,16.38,33
7,The Da Vinci Code,Dan Brown,Biography,1952,58.16,41
8,The Kite Runner,Khaled Hosseini,Adventure,1999,27.05,6
9,The Martian (Collector Edition),Andy Weir,Science Fiction,1881,54.4,11
10,The Shining,Stephen King,Fantasy,1899,52.54,68
11,Brave New World,Aldous Huxley,Horror,1917,22.24,35
12,The Shining,Stephen King,Horror,1948,30.34,83
13,The Book Thief,Markus Zusak,Fiction,1907,33.5,20
14,Dune (Illustrated Edition),Frank Herbert,Romance,2010,24.87,5
15,Sapiens,Yuval Noah Harari,Romance,1908,45.04,88
16,Harry Potter and the Philosopher's Stone,J.K. Rowling,Non-Fiction,1880,20.7,64
17,The Alchemist (Illustrated Edition),Paulo Coelho,Thriller,1971,39.74,54
18,The Book Thief (Anniversary Edition),Markus Zusak,Fiction,1887,40.19,4
19,To Kill a Mockingbird,Harper Lee,Fiction,1960,42.71,93
20,The Catcher in the Rye,J.D. Salinger,Fiction,1935,40.33,66
21,The Hobbit,J.R.R. Tolkien,Science Fiction,2008,49.44,68
22,The Martian,Andy Weir,Fiction,1884,13.68,54
23,Brave New World,Aldous Huxley,Biography,1991,37.76,85
24,The Great Gatsby,F. Scott Fitzgerald,Horror,1962,7.16,7
25,The Name of the Rose (Anniversary Edition),Umberto Eco,Biography,1983,49.88,17
26,The Hobbit (International Edition),J.R.R. Tolkien,Non-Fiction,1925,32.38,23
27,Moby-Dick,Herman Melville,Horror,1948,47.81,13
28,The Great Gatsby (Collector Edition),F. Scott Fitzgerald,Mystery,1939,31.57,94
29,Brave New World (Revised Edition),Aldous Huxley,Romance,1928,56.14,3
30,The Shining,Stephen King,Science Fiction,1910,39.82,67
31,The Hobbit (Illustrated Edition),J.R.R. Tolkien,Adventure,1862,9.25,65
32,The Great Gatsby (Revised Edition),F. Scott Fitzgerald,Thriller,2018,37.47,34
33,Harry Potter and the Philosopher's Stone (Revised Edition),J.K. Rowling,Adventure,1984,5.82,0
34,Dune (Illustrated Edition),Frank Herbert,Science Fiction,1977,15.26,23
35,The Catcher in the Rye (Illustrated Edition),J.D. Salinger,Young Adult,1912,33.56,30
36,The Name of the Rose (Anniversary Edition),Umberto Eco,Adventure,1912,37.77,90
37,Sapiens (International Edition),Yuval Noah Harari,Non-Fiction,2001,19.29,46
38,Pride and Prejudice (Revised Edition),Jane Austen,Thriller,1954,39.38,72
39,Pride and Prejudice (International Edition),Jane Austen,Adventure,1992,30.02,81
40,The Alchemist (Collector Edition),Paulo Coelho,Romance,1930,53.72,61
41,The Hobbit (Anniversary Edition),J.R.R. Tolkien,Young Adult,1937,28.78,48
42,The Hobbit (Revised Edition),J.R.R. Tolkien,Fantasy,1888,17.19,15
43,The Great Gatsby (International Edition),F. Scott Fitzgerald,Young Adult,1936,21.08,22
44,Harry Potter and the Philosopher's Stone,J.K. Rowling,Thriller,1979,14.33,98
45,Brave New World (International Edition),Aldous Huxley,Fiction,1855,51.44,8
46,The Hobbit,J.R.R. Tolkien,Science Fiction,1983,24.57,25
47,Brave New World,Aldous Huxley,Fiction,2019,35.48,36
48,The Name of the Rose,Umberto Eco,Non-Fiction,1921,7.78,22
49,The Catcher in the Rye (Collector Edition),J.D. Salinger,Mystery,1986,49.63,37
50,The Kite Runner (Anniversary Edition),Khaled Hosseini,Horror,1918,40.79,89
51,Pride and Prejudice,Jane Austen,Romance,1813,27.44,52
52,Brave New World,Aldous Huxley,Biography,1941,53.85,73
53,Moby-Dick (Collector Edition),Herman Melville,Romance,1860,19.83,28
54,Dune (Revised Edition),Frank Herbert,Fiction,1870,18.64,43
55,The Great Gatsby,F. Scott Fitzgerald,Fiction,1925,33.75,91
56,Brave New World,Aldous Huxley,Romance,1865,5.97,66
57,The Road (Collector Edition),Cormac McCarthy,Fiction,2022,43.67,8
58,Brave New World,Aldous Huxley,Fiction,1896,42.72,17
59,The Name of the Rose (Anniversary Edition),Umberto Eco,Young Adult,1874,16.35,93
60,The Shining,Stephen King,Biography,1997,28.06,69
61,Brave New World,Aldous Huxley,Thriller,1909,58.67,46
62,The Hobbit,J.R.R. Tolkien,Biography,2005,25.33,76
63,The Catcher in the Rye,J.D. Salinger,Non-Fiction,1922,33.36,51
64,Life of Pi (Revised Edition),Yann Martel,Adventure,1895,44.76,14
65,The Kite Runner (International Edition),Khaled Hosseini,Biography,1877,16.84,35
66,The Kite Runner (Anniversary Edition),Khaled Hosseini,Adventure,1971,42.03,28
67,Moby-Dick (Collector Edition),Herman Melville,Science Fiction,1941,23.68,39
68,To Kill a Mockingbird,Harper Lee,Thriller,2002,35.23,71
69,The Hobbit (Illustrated Edition),J.R.R. Tolkien,Biography,1863,20.38,90
70,The Road (International Edition),Cormac McCarthy,Historical Fiction,2001,29.67,86
71,The Martian (Revised Edition),Andy Weir,Thriller,1891,16.41,79
72,Moby-Dick,Herman Melville,Fiction,1941,44.34,70
73,Pride and Prejudice (Anniversary Edition),Jane Austen,Science Fiction,1867,36.79,55
74,Brave New World,Aldous Huxley,Mystery,1910,57.74,59
