order_id,customer_id,book_id,order_date,quantity,total_amount
1,33,149,2023-09-22,9,260.14
2,140,159,2023-11-22,8,313.19
3,335,297,2023-09-02,8,349.50
4,296,186,2023-02-25,8,403.24
5,447,229,2024-06-10,1,42.02
6,289,38,2023-05-23,1,39.78
7,230,290,2023-11-17,3,92.25
8,210,366,2024-06-22,5,285.01
9,23,316,2024-10-27,8,278.54
10,145,308,2024-10-13,6,174.30
11,201,460,2023-01-01,4,75.52
12,18,471,2024-11-05,9,281.97
13,118,78,2023-08-27,2,63.98
14,346,370,2024-01-29,1,44.28
15,141,323,2024-03-15,10,288.35
16,11,228,2024-09-20,6,356.99
17,435,457,2024-04-14,2,116.43
18,66,281,2024-12-21,6,214.88
19,282,257,2023-06-12,1,53.08
20,67,482,2023-07-26,10,418.77
21,298,459,2023-08-15,10,419.04
22,399,114,2024-07-30,4,45.46
23,290,92,2024-01-11,2,103.62
24,460,15,2024-05-01,10,479.98
25,401,135,2023-05-06,10,258.65
26,215,193,2024-06-02,2,28.56
27,380,200,2023-09-19,6,99.48
28,453,203,2023-04-03,1,37.14
29,233,144,2024-07-26,5,280.68
30,151,95,2023-05-23,4,206.94
31,151,29,2023-05-30,2,47.14
32,478,223,2024-05-01,8,443.59
33,228,287,2023-10-22,7,367.24
34,205,82,2023-08-07,7,349.16
35,26,301,2024-05-02,1,46.44
36,117,185,2023-04-02,6,357.34
37,467,454,2024-11-09,2,49.07
38,140,183,2024-11-03,10,127.77
39,20,51,2024-06-26,2,51.14
40,292,352,2024-12-15,3,162.35
41,44,14,2024-11-15,10,213.11
42,35,493,2024-02-01,1,12.27
43,303,393,2023-03-30,5,296.69
44,265,312,2024-11-21,8,85.39
45,303,181,2024-05-20,4,236.64
46,221,473,2023-08-28,7,209.28
47,181,121,2024-09-26,2,58.85
48,472,151,2023-07-10,5,56.20
49,418,186,2023-05-25,5,157.31
50,442,482,2023-01-08,2,81.44
51,343,244,2024-08-29,5,104.64
52,483,413,2023-12-19,9,533.70
53,436,386,2024-07-23,3,69.28
54,207,251,2024-05-06,3,55.09
55,258,124,2024-02-20,4,103.09
56,250,377,2023-04-07,8,230.05
57,418,276,2024-12-01,10,295.38
58,327,471,2023-05-21,5,299.92
59,170,259,2023-03-05,4,49.25
60,379,217,2024-04-03,3,52.71
61,9,333,2023-10-17,7,274.97
62,319,207,2024-05-04,2,41.78
63,450,123,2024-04-10,8,124.56
64,131,116,2024-07-15,8,95.02
65,406,194,2023-05-12,6,245.85
66,441,485,2023-08-31,6,137.60
67,482,125,2024-06-03,4,75.10
68,119,75,2023-09-16,2,103.14
69,118,139,2023-06-02,3,133.19
70,347,104,2024-11-15,4,94.12
71,132,300,2024-12-29,3,135.13
72,236,157,2023-09-29,8,114.13
73,366,490,2024-11-19,4,53.98
74,185,327,2023-12-18,8,428.86
75,398,186,2023-10-16,7,406.90
76,393,201,2024-04-28,5,248.02
77,28,39,2023-07-12,2,95.59
78,56,153,2024-10-27,4,218.88
79,347,388,2024-08-05,4,84.46
80,281,202,2023-04-20,6,245.93
81,418,466,2024-08-18,4,149.55
82,232,100,2024-09-02,6,205.32
83,172,372,2024-07-17,8,374.85
84,283,322,2023-12-23,10,300.46
85,121,202,2023-12-14,5,267.89
86,276,486,2024-08-01,9,105.15
87,141,162,2023-02-07,9,142.50
88,196,438,2023-11-27,7,283.22
89,73,156,2024-03-26,4,68.28
90,64,174,2024-10-27,5,274.75
91,194,58,2023-08-01,7,153.91
92,312,41,2023-10-09,8,458.60
93,448,230,2023-09-03,10,248.48
94,177,356,2023-10-29,1,27.17
95,123,327,2024-03-06,9,85.15
96,347,371,2023-11-10,1,53.81
97,118,226,2024-06-20,8,196.12
98,296,438,2023-12-15,9,162.50
99,24,155,2023-05-08,2,66.03
100,462,337,2024-05-27,7,260.08
101,121,44,2024-10-19,3,89.43
102,348,157,2023-05-08,6,251.09
103,156,236,2024-08-23,3,138.03
104,329,206,2024-07-25,5,100.44
105,488,318,2024-10-15,2,99.73
106,441,292,2023-04-11,10,111.47
107,243,35,2023-01-08,6,90.53
108,48,244,2024-10-15,7,69.59
109,485,333,2023-09-16,6,340.89
110,487,151,2023-01-19,2,57.21
111,29,120,2023-01-23,7,354.86
112,464,82,2023-11-10,9,395.36
113,442,149,2024-03-26,9,303.61
114,381,72,2023-09-24,8,319.59
115,185,120,2024-04-08,9,334.85
116,267,270,2023-05-30,7,62.51
117,317,109,2024-03-17,5,66.98
118,397,19,2024-05-24,7,72.81
119,237,269,2023-01-02,3,106.91
120,154,71,2023-07-04,9,81.05
121,413,88,2023-05-18,4,227.02
122,241,360,2023-09-27,7,147.40
123,118,72,2023-04-05,5,230.68
124,455,312,2023-11-15,7,362.46
125,26,334,2023-10-26,3,40.70
126,258,112,2024-11-19,9,454.08
